DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,66,517,533,515
02M414,N.Y.C. MUSEUM SCHOOL,103,468,492,459
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,127,572,594,592
02M418,MILLENNIUM HIGH SCHOOL,144,528,553,533
02M419,LANDMARK HIGH SCHOOL,62,390,399,381
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,336,429,449,428
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,84,416,426,391
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,s,s,s,s
02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,29,356,357,349
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,s,s,s,s
02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,s,s,s,s
02M439,MANHATTAN VILLAGE ACADEMY,95,441,473,458
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,59,378,365,368
02M449,VANGUARD HIGH SCHOOL,72,395,416,388
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,49,376,460,391
02M460,WASHINGTON IRVING HIGH SCHOOL,151,373,387,360
02M473,WASHINGTON IRVING YABC,s,s,s,s
02M475,STUYVESANT HIGH SCHOOL,832,679,735,682
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,167,443,489,442
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,25,370,349,351
02M519,TALENT UNLIMITED HIGH SCHOOL,81,469,472,475
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,264,407,440,393
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,131,414,425,400
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,42,429,404,420
02M542,MANHATTAN BRIDGES HIGH SCHOOL,66,336,378,344
02M543,NEW DESIGN HIGH SCHOOL,73,391,395,382
02M544,INDEPENDENCE HIGH SCHOOL,14,389,371,335
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,78,412,581,431
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,26,368,436,352
02M551,THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,77,405,423,384
02M560,HIGH SCHOOL M560 s CITY AS SCHOOL,56,498,440,477
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,30,527,508,512
02M570,SATELLITE ACADEMY HIGH SCHOOL,33,350,337,345
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,121,345,517,343
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,84,408,384,403
02M586,HARVEY MILK HIGH SCHOOL,9,458,416,429
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,335,423,423,411
02M605,HUMANITIES PREPARATORY ACADEMY,36,426,403,426
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,83,399,418,390
02M620,NORMAN THOMAS HIGH SCHOOL,154,370,379,359
02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,191,395,382,376
02M630,ART AND DESIGN HIGH SCHOOL,270,444,441,430
02M655,LIFE SCIENCES SECONDARY SCHOOL,61,409,424,403
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,27,406,379,408
03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",49,374,384,374
03M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",41,384,390,370
03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,s,s,s,s
03M403,THE GLOBAL LEARNING COLLABORATIVE,s,s,s,s
03M404,INNOVATION DIPLOMA PLUS,12,416,403,381
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,32,371,368,370
03M417,FRANK MCCOURT HIGH SCHOOL,s,s,s,s
03M470,LOUIS D. BRANDEIS HIGH SCHOOL,131,370,390,358
03M479,BEACON HIGH SCHOOL,261,577,575,592
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,531,566,564,577
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",66,396,398,402
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,75,433,433,411
03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,35,401,369,351
03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,111,473,506,467
03M577,YOUNG ADULT BOROUGH CENTER AT LOUIS D. BRANDEIS HS,s,s,s,s
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,43,356,379,361
04M409,COALITION SCHOOL FOR SOCIAL CHANGE,48,354,357,373
04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,375,461,514,455
04M495,PARK EAST HIGH SCHOOL,51,373,379,376
04M555,CENTRAL PARK EAST HIGH SCHOOL,73,405,421,395
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,70,432,446,448
04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL,48,369,369,357
04M680,"HERITAGE SCHOOL, THE",31,358,351,345
05M285,HARLEM RENAISSANCE HIGH SCHOOL,29,357,318,333
05M304,MOTT HALL HIGH SCHOOL,54,413,399,398
05M362,"COLUMBIA SECONDARY SCHOOL FOR MATH, SCIENCE, AND ENGINEERING",s,s,s,s
05M367,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,33,354,366,342
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,56,360,353,364
05M469,CHOIR ACADEMY OF HARLEM,20,354,360,385
05M499,FREDERICK DOUGLASS ACADEMY,214,458,474,442
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,66,396,402,404
05M685,BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,61,369,361,355
05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",101,605,654,588
06M293,CITY COLLEGE ACADEMY OF THE ARTS,60,408,446,416
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,55,362,376,367
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,70,380,395,399
06M423,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,s,s,s,s
06M457,GEORGE WASHINGTON YABC,7,394,357,346
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE,76,365,384,378
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,63,369,380,349
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,94,363,378,361
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,24,400,422,402
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,228,430,456,423
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,56,339,349,326
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,65,364,378,348
07X321,CROTONA ACADEMY HIGH SCHOOL,9,379,364,382
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,34,310,324,311
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,s,s,s,s
07X381,BRONX HAVEN HIGH SCHOOL,s,s,s,s
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,43,361,359,357
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,63,351,375,371
07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,79,403,394,404
07X500,HOSTOSsLINCOLN ACADEMY OF SCIENCE,66,420,426,411
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,64,399,396,391
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,62,362,378,363
07X547,NEW EXPLORERS HIGH SCHOOL,28,367,356,361
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,44,387,411,383
07X551,BRONX ACADEMY OF LETTERS,51,413,381,407
07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,76,394,400,364
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,47,398,416,370
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,114,363,368,364
08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,s,s,s,s
08X282,WOMEN'S ACADEMY OF EXCELLENCE,44,407,386,378
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY,52,384,385,389
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY,41,416,390,394
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES,67,337,361,340
08X312,MILLENNIUM ART ACADEMY,67,387,402,375
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,39,363,371,350
08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",s,s,s,s
08X376,"ANTONIA PANTOJA PREPARATORY ACADEMY, A COLLEGE BOARD SCHOOL",s,s,s,s
08X377,BRONX COMMUNITY HIGH SCHOOL,9,367,369,376
08X405,HERBERT H. LEHMAN HIGH SCHOOL,415,412,436,393
08X408,HERBERT H. LEHMAN YABC,6,402,373,413
08X432,BRONX BRIDGES HIGH SCHOOL,s,s,s,s
08X452,BRONX GUILD,39,369,371,365
08X507,STEVENSON YABC,s,s,s,s
08X519,"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE",68,373,370,356
08X530,BANANA KELLY HIGH SCHOOL,54,373,381,377
08X537,BRONX ARENA HIGH SCHOOL,s,s,s,s
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,16,366,400,368
08X560,HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL,9,404,368,399
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,78,377,359,376
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,39,324,376,349
09X231,EAGLE ACADEMY FOR YOUNG MEN,78,373,387,374
09X239,"URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE",33,372,355,357
09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",80,411,464,415
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,50,393,394,382
09X252,MOTT HALL BRONX HIGH SCHOOL,67,369,367,356
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,81,459,480,457
09X263,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,74,356,363,356
09X276,LEADERSHIP INSTITUTE,30,361,353,367
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,38,386,386,376
09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,s,s,s,s
09X329,DREAMYARD PREPARATORY SCHOOL,51,382,365,391
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,54,315,339,297
09X403,BRONX INTERNATIONAL HIGH SCHOOL,49,314,312,339
09X404,SCHOOL FOR EXCELLENCE,32,363,360,351
09X412,BRONX HIGH SCHOOL OF BUSINESS,34,356,376,351
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,64,400,419,402
09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,35,379,364,379
09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",80,404,418,402
09X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,50,368,384,369
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,114,384,394,388
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,27,353,315,371
10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),113,438,455,440
10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,86,373,412,365
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,59,405,391,394
10X237,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",79,382,393,382
10X243,WEST BRONX ACADEMY FOR THE FUTURE,26,382,406,370
10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,52,304,356,302
10X284,BRONX SCHOOL OF LAW AND FINANCE,54,402,395,385
10X319,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH SCHOOL,s,s,s,s
10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,49,300,333,301
10X368,INsTECH ACADEMY (M.S. / HIGH SCHOOL 368),111,390,408,383
10X374,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),61,392,401,387
10X397,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),38,343,356,330
10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,57,370,371,365
10X434,BELMONT PREPARATORY HIGH SCHOOL,51,404,418,400
10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,48,355,350,372
10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,63,367,385,367
10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,65,366,364,352
10X440,DEWITT CLINTON HIGH SCHOOL,443,419,426,410
10X442,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",52,423,420,427
10X445,BRONX HIGH SCHOOL OF SCIENCE,731,632,688,649
10X475,JOHN F. KENNEDY HIGH SCHOOL,109,351,362,339
10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,99,414,435,414
10X478,LEARNING TO WORK GED AT JOHN F. KENNEDY,s,s,s,s
10X546,BRONX THEATRE HIGH SCHOOL,68,348,362,354
10X549,DISCOVERY HIGH SCHOOL,55,372,379,364
10X660,GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,73,362,382,356
10X667,GRACE DODGE YABC,10,350,356,317
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,92,636,648,636
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,74,370,381,382
11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,46,400,357,390
11X265,BRONX LAB SCHOOL,81,377,391,367
11X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,56,386,394,361
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,72,381,376,354
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,97,444,471,433
11X290,BRONX ACADEMY OF HEALTH CAREERS,69,387,365,383
11X299,ASTOR COLLEGIATE ACADEMY,60,387,391,391
11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,121,367,361,353
11X417,YOUNG ADULT BOROUGH CNTR CHRISTOPHER COLUMBUS HS,s,s,s,s
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,48,419,433,416
11X455,HARRY S TRUMAN HIGH SCHOOL,189,386,397,368
11X456,LEARNING TO WORK YABC AT TRUMAN HIGH SCHOOL,s,s,s,s
11X513,NEW WORLD HIGH SCHOOL,72,332,381,335
11X514,THE BRONXWOOD PREPARATORY ACADEMY,48,377,372,363
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,57,372,382,375
11X542,PELHAM PREPARATORY ACADEMY,76,431,438,419
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,55,383,378,365
11X545,BRONX AEROSPACE HIGH SCHOOL,46,388,393,382
12X245,NEW DAY ACADEMY,25,348,344,354
12X248,"METROPOLITAN HIGH SCHOOL, THE",49,347,367,341
12X251,EXPLORATIONS ACADEMY,57,381,381,360
12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,30,361,353,360
12X267,BRONX LATIN,36,408,432,411
12X271,EAST BRONX ACADEMY FOR THE FUTURE,46,366,378,358
12X278,PEACE AND DIVERSITY ACADEMY,34,390,401,364
12X388,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,30,321,351,298
12X428,LEARNING TO WORK YABC AT MONROE ACADEMY,s,s,s,s
12X446,ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,14,380,372,349
12X478,THE CINEMA SCHOOL,s,s,s,s
12X479,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,s,s,s,s
12X480,BRONX REGIONAL HIGH SCHOOL,16,398,385,398
12X550,HIGH SCHOOL OF WORLD CULTURES,42,304,323,312
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,72,342,346,341
12X684,WINGS ACADEMY,66,378,374,362
12X690,MONROE ACADEMY FOR BUSINESS/LAW,31,375,387,376
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,43,332,357,349
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,29,352,349,373
13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,9,439,374,418
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,52,360,364,356
13K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",37,375,355,384
13K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",92,399,417,395
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,1277,587,659,587
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,90,305,364,312
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,105,400,417,389
13K499,ACORN COMMUNITY HIGH SCHOOL,72,384,364,368
13K509,FREEDOM ACADEMY HIGH SCHOOL,29,400,390,403
13K527,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,s,s,s,s
13K553,BROOKLYN ACADEMY HIGH SCHOOL,8,435,383,379
13K575,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,13,398,391,394
13K595,BEDFORD ACADEMY HIGH SCHOOL,89,438,443,431
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,85,406,391,392
13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE,s,s,s,s
13K670,BENJAMIN BANNEKER ACADEMY,185,471,472,448
13K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",20,441,499,413
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,102,365,361,359
14K322,FOUNDATIONS ACADEMY,s,s,s,s
14K404,ACADEMY FOR YOUNG WRITERS,68,387,357,381
14K449,"BROOKLYN LATIN SCHOOL, THE",72,586,584,570
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,41,407,386,396
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,144,364,379,371
14K477,SCHOOL FOR LEGAL STUDIES,134,413,396,395
14K478,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",142,398,421,396
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,42,367,373,350
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,72,363,385,364
14K561,WILLIAMSBURG PREPARATORY SCHOOL,113,397,410,380
14K586,LYONS COMMUNITY SCHOOL,31,371,377,355
14K610,AUTOMOTIVE HIGH SCHOOL,94,367,376,350
14K632,FRANCES PERKINS ACADEMY,12,382,372,368
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,28,359,335,341
14K923,AUTOMOTIVE HIGH SCHOOL YABC,s,s,s,s
15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,52,361,367,383
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,76,393,399,387
15K462,SECONDARY SCHOOL FOR LAW,59,398,411,394
15K463,SECONDARY SCHOOL FOR JOURNALISM,58,397,391,381
15K464,PARK SLOPE COLLEGIATE,72,379,416,380
15K497,SCHOOL FOR INTERNATIONAL STUDIES,64,405,415,392
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,77,398,402,385
15K520,PACIFIC HIGH SCHOOL,9,352,341,300
15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,s,s,s,s
15K530,METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,28,368,365,368
15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,141,426,421,411
15K667,SUNSET PARK HIGH SCHOOL,s,s,s,s
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,8,430,416,425
16K393,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,20,355,355,358
16K455,BOYS AND GIRLS HIGH SCHOOL,131,365,370,362
16K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,46,362,372,358
16K594,GOTHAM PROFESSIONAL ARTS ACADEMY,36,370,372,351
16K688,THE BROOKLYN ACADEMY OF GLOBAL FINANCE,s,s,s,s
17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,59,396,374,369
17K408,ACADEMY OF HOSPITALITY AND TOURISM,57,352,342,351
17K467,ERASMUS YABC,s,s,s,s
17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,7,394,364,334
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,71,287,335,291
17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,46,403,385,388
17K531,"SCHOOL FOR HUMAN RIGHTS, THE",35,348,381,359
17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP,38,377,404,372
17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,73,338,349,340
17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,61,362,375,368
17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",69,457,462,441
17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,54,386,391,369
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,79,418,441,414
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,63,388,382,373
17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,48,385,393,373
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,16,372,356,335
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,165,476,481,479
17K600,CLARA BARTON HIGH SCHOOL,259,425,413,413
17K625,PAUL ROBESON HIGH SCHOOL,53,365,363,355
17K751,ACADEMY FOR HEALTH CAREERS,s,s,s,s
18K563,IT TAKES A VILLAGE ACADEMY,56,313,320,330
18K566,BROOKLYN GENERATION SCHOOL,29,374,377,394
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,54,383,358,377
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,43,368,378,346
18K576,VICTORY COLLEGIATE HIGH SCHOOL,63,387,377,379
18K578,BROOKLYN BRIDGE ACADEMY,17,384,362,351
18K589,ARTS & MEDIA PREPARATORY ACADEMY,48,361,360,359
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,37,404,393,386
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,33,393,395,381
18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,75,386,380,393
18K635,OLYMPUS ACADEMY,7,400,370,370
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,35,363,381,367
18K642,URBAN ACTION ACADEMY,40,376,385,374
18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,12,410,403,378
19K409,EAST NEW YORK FAMILY ACADEMY,54,416,432,394
19K420,FRANKLIN K. LANE HIGH SCHOOL,s,s,s,s
19K431,THOMAS JEFFERSON YABC,s,s,s,s
19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,37,341,349,333
19K504,HIGH SCHOOL FOR CIVIL RIGHTS,47,363,349,342
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,61,380,386,383
19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,68,371,365,370
19K583,MULTICULTURAL HIGH SCHOOL,29,279,322,286
19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,182,395,418,380
19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,60,371,371,354
19K639,BROOKLYN LAB SCHOOL,57,360,385,363
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,51,376,385,368
